run,run_code,run_name_cn,combo,threshold_group,applied_threshold,acc,auc,f1,sen,spe,bal_acc,tn,fp,fn,tp,auc_warning,num_hyperedges,use_anatomy_edges,use_prototype_edges,use_mask_aware_classifier,mask_head_type,mask_order,use_mask_aware_node_fusion,use_node_type_embed,no_t1ce_t1_penalty,threshold,avg_gate_t1,avg_gate_t1ce,avg_gate_t2,avg_gate_flair,core_avg_gate_t1,core_avg_gate_t1ce,core_avg_gate_t2,core_avg_gate_flair,boundary_avg_gate_t1,boundary_avg_gate_t1ce,boundary_avg_gate_t2,boundary_avg_gate_flair,peri_inner_avg_gate_t1,peri_inner_avg_gate_t1ce,peri_inner_avg_gate_t2,peri_inner_avg_gate_flair,peri_outer_avg_gate_t1,peri_outer_avg_gate_t1ce,peri_outer_avg_gate_t2,peri_outer_avg_gate_flair,distal_normal_avg_gate_t1,distal_normal_avg_gate_t1ce,distal_normal_avg_gate_t2,distal_normal_avg_gate_flair
brats2020_public_eval,B0,初始公开集基线,t2_t1ce_t1,has_t1ce,0.955,0.8648648648648649,0.875,0.918032786885246,0.9655172413793104,0.5,0.7327586206896552,4,4,1,28,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.955,0.0104822961535226,0.9604217917230484,0.0290959147114736,0.0,0.0042942762335541,0.9224580460404224,0.0732476828550368,0.0,0.0115930008474431,0.9527101242864454,0.0356968873405674,0.0,0.0102623674552889,0.9708432869331256,0.0188943447954447,0.0,0.0186427916961772,0.9676374583630948,0.0137197416975477,0.0,0.0076190445351499,0.9884600429921536,0.0039209168687716,0.0
brats2020_public_eval,B0,初始公开集基线,t2_t1ce_flair,has_t1ce,0.955,0.8648648648648649,0.8620689655172413,0.9152542372881356,0.9310344827586208,0.625,0.7780172413793103,5,3,2,27,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.955,0.0,0.7808634471165594,0.0137617613438676,0.2053747963239919,0.0,0.9117796254419798,0.0529461208984605,0.035274260796649,0.0,0.9007802061088434,0.011352919794957,0.0878668877239128,0.0,0.8577023749869015,0.0029536141379225,0.1393440066668353,0.0,0.7171927375791317,0.0015394185381913,0.2812678461263114,0.0,0.5168622914659409,1.6733349806787934e-05,0.4831209803062509
brats2020_public_eval,B0,初始公开集基线,t2_t1_flair,no_t1ce_with_t1,0.01,0.6756756756756757,0.6853448275862069,0.76,0.6551724137931034,0.75,0.7025862068965517,6,2,10,19,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.01,0.0117419606416144,0.0,0.1303932389776003,0.8578648086033157,0.0267085188860299,0.0,0.4890698219881144,0.4842216673030241,0.0153602467054992,0.0,0.101112404313008,0.8835273610579001,0.0100760593836516,0.0,0.043867421788245,0.9460565238385588,0.0064988399684747,0.0,0.0178312033872078,0.9756699623288336,6.61382644166276e-05,0.0,8.534341142643395e-05,0.9998485284882624
brats2020_public_eval,B0,初始公开集基线,t1ce_t1_flair,has_t1ce,0.955,0.8648648648648649,0.8620689655172413,0.9152542372881356,0.9310344827586208,0.625,0.7780172413793103,5,3,2,27,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.955,0.0036963267586474,0.7861865807442753,0.0,0.2101171002626594,0.0080166004856357,0.9362011940998806,0.0,0.0557822180217666,0.004390738746189,0.9034188691262356,0.0,0.0921904018320019,0.0020271311999116,0.8580220948363578,0.0,0.1399507879708649,0.0039745209230813,0.7164572078995785,0.0,0.2795682716996667,7.264243841966034e-05,0.5168335377593241,0.0,0.4830938217889972
brats2020_public_eval,B0,初始公开集基线,t2_t1ce_t1_flair,has_t1ce,0.955,0.8648648648648649,0.8620689655172413,0.9152542372881356,0.9310344827586208,0.625,0.7780172413793103,5,3,2,27,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.955,0.0024549904446523,0.7801769702731002,0.0133168383190204,0.2040512090287662,0.0027748817957484,0.9109810125586149,0.051535106339715,0.0347090065524428,0.0036174804420814,0.8997424542148774,0.0107064125589707,0.085933666047319,0.0018997795592226,0.8571278486665137,0.0028525430296406,0.1381198388512633,0.0039101499305109,0.7162118977127673,0.0014734071288009,0.2784045472435152,7.266049569834604e-05,0.5168216382127276,1.672253797514073e-05,0.4830889864492908
missing_curriculum_seed42,MC,缺失模态课程训练,t2,no_t1ce_no_t1,0.2164999999999999,0.7837837837837838,0.6422413793103448,0.8787878787878788,1.0,0.0,0.5,0,8,0,29,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.2164999999999999,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
missing_curriculum_seed42,MC,缺失模态课程训练,t1ce,has_t1ce,0.4999999999999999,0.8648648648648649,0.7629310344827587,0.9206349206349206,1.0,0.375,0.6875,3,5,0,29,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.4999999999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
missing_curriculum_seed42,MC,缺失模态课程训练,t1,no_t1ce_with_t1,0.194,0.7837837837837838,0.4008620689655172,0.8787878787878788,1.0,0.0,0.5,0,8,0,29,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.194,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
missing_curriculum_seed42,MC,缺失模态课程训练,flair,no_t1ce_no_t1,0.2164999999999999,0.7297297297297297,0.7198275862068966,0.8333333333333334,0.8620689655172413,0.25,0.5560344827586207,2,6,4,25,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.2164999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
missing_curriculum_seed42,MC,缺失模态课程训练,t2_t1ce,has_t1ce,0.4999999999999999,0.8648648648648649,0.7586206896551724,0.918032786885246,0.9655172413793104,0.5,0.7327586206896552,4,4,1,28,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.4999999999999999,0.0,0.9473607511058248,0.0526392596299102,0.0,0.0,0.8974852940143162,0.1025147143334838,0.0,0.0,0.9343115630987529,0.0656884507158793,0.0,0.0,0.9537809257571762,0.0462190884636611,0.0,0.0,0.96313405600754,0.0368659508809041,0.0,0.0,0.9880919166513392,0.0119080937556229,0.0
